
                    ************************************************
                    *                Model: CRAFLUSH               *
                    *           Parallel Crack Model D > 0         *
                    *            (C) E.A. Sudicky, 1988            *
                    *   Waterloo Centre for Groundwater Research   *
                    *            University of Waterloo            *
                    *       Waterloo, Ontario, CANADA N2L 3G1      *
                    ************************************************


  Source concentration at infinite time=     1.0000
  Initial concentration in matrix and fractures=     0.0000
  Velocity in fracture=  8.68056E-06
  Fracture dispersivity=      0.760
  Fracture aperture=  1.2000E-04
  Fracture spacing=      0.100
  Matrix porosity=      0.350
  Matrix tortuosity=      1.000
  Diff. coeff. in water=  1.0000E-10
  Fracture retardation factor=      1.000
  Matrix retardation factor=      1.000
  Non-decaying solute


  Numerical inversion parameters used in CRUMP

  ALPHR=  0.000
  RELERR=  1.0000E-06
  N=  15


  Variable source concentration

     Time       Concentration
  0.000            1.00000


    Time      Distance: along Fracture,  in Matrix     C(t)     Steady C
 2.5920E+05                      0.010       0.000  0.97212      1.00000
 2.5920E+05                      0.040       0.000  0.89207      1.00000
 2.5920E+05                      0.080       0.000  0.79348      1.00000
 2.5920E+05                      0.120       0.000  0.70380      1.00000
 2.5920E+05                      0.160       0.000  0.62254      1.00000
 2.5920E+05                      0.200       0.000  0.54919      1.00000
 2.5920E+05                      0.240       0.000  0.48320      1.00000
 2.5920E+05                      0.280       0.000  0.42405      1.00000
 2.5920E+05                      0.320       0.000  0.37120      1.00000
 2.5920E+05                      0.360       0.000  0.32414      1.00000
 2.5920E+05                      0.400       0.000  0.28236      1.00000
 2.5920E+05                      0.440       0.000  0.24538      1.00000
 2.5920E+05                      0.480       0.000  0.21275      1.00000
 2.5920E+05                      0.520       0.000  0.18404      1.00000
 2.5920E+05                      0.560       0.000  0.15884      1.00000
 2.5920E+05                      0.600       0.000  0.13679      1.00000
 2.5920E+05                      0.640       0.000  0.11754      1.00000
 2.5920E+05                      0.680       0.000  0.10079      1.00000
 2.5920E+05                      0.720       0.000  0.08624      1.00000
 2.5920E+05                      0.760       0.000  0.07364      1.00000
 2.5920E+05                      0.800       0.000  0.06276      1.00000
 3.0240E+05                      0.010       0.000  0.97337      1.00000
 3.0240E+05                      0.040       0.000  0.89677      1.00000
 3.0240E+05                      0.080       0.000  0.80205      1.00000
 3.0240E+05                      0.120       0.000  0.71548      1.00000
 3.0240E+05                      0.160       0.000  0.63664      1.00000
 3.0240E+05                      0.200       0.000  0.56508      1.00000
 3.0240E+05                      0.240       0.000  0.50035      1.00000
 3.0240E+05                      0.280       0.000  0.44198      1.00000
 3.0240E+05                      0.320       0.000  0.38951      1.00000
 3.0240E+05                      0.360       0.000  0.34249      1.00000
 3.0240E+05                      0.400       0.000  0.30047      1.00000
 3.0240E+05                      0.440       0.000  0.26303      1.00000
 3.0240E+05                      0.480       0.000  0.22976      1.00000
 3.0240E+05                      0.520       0.000  0.20027      1.00000
 3.0240E+05                      0.560       0.000  0.17420      1.00000
 3.0240E+05                      0.600       0.000  0.15122      1.00000
 3.0240E+05                      0.640       0.000  0.13100      1.00000
 3.0240E+05                      0.680       0.000  0.11327      1.00000
 3.0240E+05                      0.720       0.000  0.09774      1.00000
 3.0240E+05                      0.760       0.000  0.08418      1.00000
 3.0240E+05                      0.800       0.000  0.07236      1.00000
 3.4560E+05                      0.010       0.000  0.97442      1.00000
 3.4560E+05                      0.040       0.000  0.90070      1.00000
 3.4560E+05                      0.080       0.000  0.80926      1.00000
 3.4560E+05                      0.120       0.000  0.72534      1.00000
 3.4560E+05                      0.160       0.000  0.64859      1.00000
 3.4560E+05                      0.200       0.000  0.57862      1.00000
 3.4560E+05                      0.240       0.000  0.51503      1.00000
 3.4560E+05                      0.280       0.000  0.45742      1.00000
 3.4560E+05                      0.320       0.000  0.40537      1.00000
 3.4560E+05                      0.360       0.000  0.35847      1.00000
